amfi_code,date,nav,daily_return
100016,2022-01-02,512.1124,
100016,2022-01-03,503.1674,-1.7466868601502261
100016,2022-01-04,531.285,5.5881203750481445
100016,2022-01-06,474.1732,-10.749748251879865
100016,2022-01-07,452.584,-4.553019867002184
100016,2022-01-08,433.0211,-4.322490410619906
100016,2022-01-09,424.3603,-2.000087293667674
100016,2022-01-11,448.4277,5.671454186454294
100016,2022-01-12,482.4201,7.5803524180152015
100016,2022-01-13,510.2445,5.76767012817252
100016,2022-01-14,514.3636,0.807279647306336
100016,2022-01-17,514.7627,0.07759102704778531
100016,2022-01-18,517.3803,0.5085061524465528
100016,2022-01-19,513.1866,-0.8105642986406814
100016,2022-01-20,507.1294,-1.1803114110929713
100016,2022-01-21,507.871,0.14623486628857485
100016,2022-01-24,506.7062,-0.22934957892849495
100016,2022-01-25,509.7762,0.6058737785328061
100016,2022-01-26,509.68,-0.018871026148337133
100016,2022-01-27,510.8661,0.2327146444828232
100016,2022-01-28,503.8641,-1.3706135521617147
100016,2022-01-31,512.5903,1.7318558714542132
100016,2022-02-02,515.5386,0.5751767054507306
100016,2022-02-03,504.7495,-2.092782189345277
100016,2022-02-05,524.0515,3.824075110525116
100016,2022-02-06,473.1602,-9.711125719514213
100016,2022-02-08,423.7137,-10.450266104376482
100016,2022-02-09,418.068,-1.3324327252104529
100016,2022-02-11,453.5279,8.481849842609336
100016,2022-02-12,480.9949,6.056297749267459
100016,2022-02-14,507.5435,5.519517982415212
100016,2022-02-15,504.7492,-0.5505537948964023
100016,2022-02-16,507.0506,0.4559492120046915
100016,2022-02-17,516.7872,1.9202422795673746
100016,2022-02-18,516.4246,-0.07016427651457269
100016,2022-02-21,519.3918,0.5745659676165582
100016,2022-02-22,519.1698,-0.04274229974365884
100016,2022-02-23,528.4118,1.7801497698826108
100016,2022-02-24,520.6004,-1.4782788726519613
100016,2022-02-25,521.3038,0.1351132269587163
100016,2022-02-28,514.1489,-1.3725010253138326
100016,2022-03-01,520.4608,1.2276404753564396
100016,2022-03-02,512.0153,-1.622696656501299
100016,2022-03-03,505.6316,-1.2467791489824687
100016,2022-03-05,515.5881,1.9691213919383221
100016,2022-03-06,470.7754,-8.691569879134153
100016,2022-03-08,423.3646,-10.07078959520824
100016,2022-03-10,430.3701,1.6547203049097625
100016,2022-03-11,455.1164,5.750004472894377
100016,2022-03-14,519.2545,14.09268046592036
100016,2022-03-15,518.432,-0.15840016793305933
100016,2022-03-16,516.825,-0.3099731498055647
100016,2022-03-17,525.4534,1.6695012818652266
100016,2022-03-18,531.2109,1.0957203816742034
100016,2022-03-21,532.1264,0.17234209614296336
100016,2022-03-22,521.6911,-1.9610566211336278
100016,2022-03-23,520.3011,-0.2664411947989831
100016,2022-03-24,533.1283,2.465341703102286
100016,2022-03-25,532.3194,-0.15172707957915588
100016,2022-03-28,537.8012,1.029795269531797
100016,2022-03-29,544.965,1.332053554361723
100016,2022-03-30,546.3002,0.2450065600543061
100016,2022-03-31,542.5392,-0.6884493177926609
100016,2022-04-01,515.0971,-5.058086125389671
100016,2022-04-02,513.6729,-0.2764915585818484
100016,2022-04-03,504.6233,-1.7617437088855659
100016,2022-04-04,534.7762,5.975328527240031
100016,2022-04-05,522.4674,-2.3016731111070388
100016,2022-04-07,443.3196,-15.148849478455507
100016,2022-04-08,427.5619,-3.554478529710847
100016,2022-04-10,428.3154,0.17623179240247033
100016,2022-04-11,452.9791,5.758303343750892
100016,2022-04-13,522.8529,15.425391590914451
100016,2022-04-14,528.6739,1.1133150452067975
100016,2022-04-15,526.1696,-0.47369465373646724
100016,2022-04-18,518.7241,-1.4150380409662433
100016,2022-04-19,518.493,-0.04455162195085016
100016,2022-04-20,518.9178,0.0819297463996671
100016,2022-04-21,519.9214,0.19340250035746465
100016,2022-04-22,526.4763,1.260748259256128
100016,2022-04-25,525.6507,-0.1568161757708797
100016,2022-04-26,525.3674,-0.05389510562814337
100016,2022-04-27,520.5493,-0.9170915439366767
100016,2022-04-28,524.6005,0.7782548165947034
100016,2022-04-29,525.7251,0.2143726511888655
100016,2022-05-01,521.7239,-0.7610821701303672
100016,2022-05-04,531.2213,1.820388140163809
100016,2022-05-05,517.1078,-2.656802353369503
100016,2022-05-07,449.0289,-13.165320654610113
100016,2022-05-08,424.424,-5.479580490253532
100016,2022-05-09,415.1206,-2.1920061071004304
100016,2022-05-10,432.9656,4.298750772667015
100016,2022-05-12,483.5309,11.67882621621672
100016,2022-05-13,499.2941,3.2600191632013775
100016,2022-05-16,497.1556,-0.4283046805479973
100016,2022-05-17,510.4206,2.668178735188742
100016,2022-05-18,506.2251,-0.8219691760089631
100016,2022-05-19,502.3871,-0.7581607470668716
100016,2022-05-20,500.1462,-0.44605046586585484
100016,2022-05-23,501.4785,0.26638210987106614
100016,2022-05-24,499.6609,-0.3624482405526819
100016,2022-05-25,502.6257,0.5933624183921404
100016,2022-05-26,498.5637,-0.8081560493225948
100016,2022-05-27,492.78,-1.1600724240453109
100016,2022-05-30,485.277,-1.522586143918181
100016,2022-05-31,476.0989,-1.8913115602016917
100016,2022-06-01,515.788,8.336314156575453
100016,2022-06-04,532.3217,3.205522423941609
100016,2022-06-05,514.6837,-3.313409917348842
100016,2022-06-06,476.2119,-7.474843287246136
100016,2022-06-07,451.9322,-5.098507618142256
100016,2022-06-09,417.805,-7.551398196455139
100016,2022-06-10,426.8679,2.1691698280298155
100016,2022-06-12,485.0894,13.639231246950168
100016,2022-06-13,468.8163,-3.3546599863860105
100016,2022-06-14,466.3477,-0.5265601899933969
100016,2022-06-15,463.7261,-0.5621556619663792
100016,2022-06-16,461.2993,-0.5233261617148433
100016,2022-06-17,459.9666,-0.2889013705418608
100016,2022-06-20,457.6317,-0.5076238144247847
100016,2022-06-21,458.7099,0.2356043080057546
100016,2022-06-22,460.4075,0.3700813956707849
100016,2022-06-23,456.9604,-0.74870630908489
100016,2022-06-24,462.3501,1.1794676300178386
100016,2022-06-27,458.6076,-0.8094515389960977
100016,2022-06-28,452.344,-1.3657863498119038
100016,2022-06-29,454.0998,0.38815591673593275
100016,2022-06-30,451.0707,-0.6670560083928745
100016,2022-07-01,515.1639,14.209125088373064
100016,2022-07-02,508.0666,-1.3776780554693446
100016,2022-07-03,504.411,-0.719511969493758
100016,2022-07-04,526.7582,4.430355404620445
100016,2022-07-06,481.6458,-8.564157140790595
100016,2022-07-07,446.2213,-7.354886100948043
100016,2022-07-09,418.6355,-6.182089469955832
100016,2022-07-10,421.495,0.6830524406076455
100016,2022-07-11,457.1295,8.45431143904436
100016,2022-07-12,481.0854,5.240506246041865
100016,2022-07-13,441.7416,-8.17813219856599
100016,2022-07-14,433.2246,-1.9280502447584724
100016,2022-07-15,432.1093,-0.257441521095525
100016,2022-07-18,431.4649,-0.14912893566512153
100016,2022-07-19,434.4201,0.6849224583506119
100016,2022-07-20,429.3142,-1.1753369606977149
100016,2022-07-21,423.8151,-1.2809033570285067
100016,2022-07-22,425.7236,0.4503142997972498
100016,2022-07-25,429.7419,0.9438753219224827
100016,2022-07-26,424.047,-1.3251907714839861
100016,2022-07-27,428.3319,1.0104776121514725
100016,2022-07-28,428.6948,0.08472401892083425
100016,2022-07-29,433.0659,1.0196298158970052
100016,2022-08-02,510.3595,17.8479995769697
100016,2022-08-03,518.6513,1.6246978845304128
100016,2022-08-04,525.7986,1.3780549667955944
100016,2022-08-06,480.4735,-8.62023976480728
100016,2022-08-07,440.6669,-8.28486898861227
100016,2022-08-08,423.1925,-3.965444193789003
100016,2022-08-09,423.2368,0.010468049410139457
100016,2022-08-11,457.3685,8.064445246727114
100016,2022-08-12,483.5409,5.7223879650653675
100016,2022-08-15,417.6036,-13.63634389562497
100016,2022-08-16,417.4997,-0.024880053716003214
100016,2022-08-17,422.3739,1.1674738927956119
100016,2022-08-18,424.1079,0.41053673060764684
100016,2022-08-19,423.4485,-0.15547930137588262
100016,2022-08-22,420.3416,-0.7337137810146888
100016,2022-08-23,423.5281,0.7580739094108058
100016,2022-08-24,416.803,-1.5878757513373976
100016,2022-08-25,419.4003,0.6231481059397304
100016,2022-08-26,415.5691,-0.9134948162888845
100016,2022-08-29,420.401,1.1627187873208156
100016,2022-08-30,421.2166,0.19400524737096525
100016,2022-08-31,423.8348,0.6215804410367287
100016,2022-09-02,509.0223,20.099222621644095
100016,2022-09-03,517.7387,1.7123807738875119
100016,2022-09-05,516.5793,-0.22393535580785828
100016,2022-09-06,473.1759,-8.402078828942617
100016,2022-09-08,422.7537,-10.65612175091758
100016,2022-09-09,424.9639,0.5228103266748496
100016,2022-09-11,460.3808,8.334096143225334
100016,2022-09-12,487.4889,5.888190819425998
100016,2022-09-13,418.8403,-14.082084740801271
100016,2022-09-14,419.437,0.14246480102320103
100016,2022-09-15,411.1759,-1.9695687314185473
100016,2022-09-16,417.5046,1.5391709484918747
100016,2022-09-19,419.3505,0.44212686518902977
100016,2022-09-20,424.1319,1.1401917965997432
100016,2022-09-21,418.4765,-1.3334059522521091
100016,2022-09-22,423.3133,1.1558116166618726
100016,2022-09-23,431.9494,2.040120166316539
100016,2022-09-26,427.1671,-1.1071435682049824
100016,2022-09-27,430.305,0.7345837261343302
100016,2022-09-28,430.5313,0.052590604338775826
100016,2022-09-29,424.9261,-1.3019262478709326
100016,2022-09-30,426.9974,0.48744946474221784
100016,2022-10-01,510.7136,19.605786826805026
100016,2022-10-02,509.4161,-0.2540562851664818
100016,2022-10-03,520.3416,2.1447103850859905
100016,2022-10-05,511.4204,-1.7144890971623306
100016,2022-10-06,471.0598,-7.891863523629484
100016,2022-10-08,412.293,-12.475443669784603
100016,2022-10-10,422.2208,2.4079477458991416
100016,2022-10-11,451.9519,7.041600034863271
100016,2022-10-13,423.3166,-6.335917605391195
100016,2022-10-14,425.5227,0.5211465839043417
100016,2022-10-17,428.9765,0.8116605765097873
100016,2022-10-18,428.7321,-0.056972817858313984
100016,2022-10-19,431.2389,0.5847007956716999
100016,2022-10-20,429.769,-0.34085515012676204
100016,2022-10-21,437.8501,1.8803357152330724
100016,2022-10-24,434.9481,-0.6627839070951436
100016,2022-10-25,443.3278,1.926597679125397
100016,2022-10-26,443.6931,0.08239952468580558
100016,2022-10-27,438.5694,-1.154784692392119
100016,2022-10-28,444.122,1.2660710026737076
100016,2022-10-31,444.8448,0.16274807372749223
100016,2022-11-01,513.5542,15.445701512077914
100016,2022-11-02,512.826,-0.14179613368949795
100016,2022-11-03,517.6372,0.9381739615386131
100016,2022-11-04,526.2264,1.6593088750190388
100016,2022-11-05,504.9889,-4.035810442045484
100016,2022-11-07,447.4448,-11.39512175416133
100016,2022-11-08,418.6311,-6.439609980940664
100016,2022-11-10,422.5333,0.9321333269315168
100016,2022-11-11,453.9711,7.440312988349085
100016,2022-11-14,451.6546,-0.5102747729976542
100016,2022-11-15,458.5248,1.5211181287647646
100016,2022-11-16,461.2893,0.6029117727111011
100016,2022-11-17,462.5046,0.26345722738418953
100016,2022-11-18,464.7322,0.48163845289321827
100016,2022-11-21,460.8957,-0.8255291972452117
100016,2022-11-22,467.7825,1.4942209267736928
100016,2022-11-23,476.316,1.824245242179856
100016,2022-11-24,478.216,0.3988948513172108
100016,2022-11-25,485.221,1.4648192448600605
100016,2022-11-28,483.0407,-0.44934164020106193
100016,2022-11-29,479.9044,-0.6492827623013953
100016,2022-11-30,480.3253,0.08770496790611038
100016,2022-12-01,512.3195,6.660944155970938
100016,2022-12-04,527.7466,3.0112263929052085
100016,2022-12-05,495.8735,-6.039470457981155
100016,2022-12-07,444.7739,-10.304966891757672
100016,2022-12-08,415.5307,-6.574846230860221
100016,2022-12-09,421.5737,1.4542848458609647
100016,2022-12-10,420.0881,-0.3523938993348019
100016,2022-12-12,488.4785,16.280013644756906
100016,2022-12-13,493.7241,1.073865072874236
100016,2022-12-14,488.7036,-1.0168634668633825
100016,2022-12-15,490.9778,0.4653536417575044
100016,2022-12-16,486.1873,-0.9757060298856701
100016,2022-12-19,481.6822,-0.9266181983774491
100016,2022-12-20,479.2566,-0.5035685354368602
100016,2022-12-21,475.5366,-0.7762021430690713
100016,2022-12-22,473.4881,-0.43077651646582504
100016,2022-12-23,472.8386,-0.13717345800242642
100016,2022-12-26,476.5883,0.7930190132531489
100016,2022-12-27,475.4855,-0.23139468593752488
100016,2022-12-28,469.1246,-1.337769500857544
100016,2022-12-29,474.1097,1.062638795748505
100016,2022-12-30,470.8654,-0.6842931076921577
100016,2023-01-02,487.5779,3.5493157917315665
100016,2023-01-03,508.6667,4.325216544884425
100016,2023-01-05,571.1134,12.276545722375776
100016,2023-01-06,565.0931,-1.054133907556698
100016,2023-01-08,575.2193,1.7919525118958113
100016,2023-01-09,576.8994,0.2920799076108871
100016,2023-01-11,578.126,0.2126193925665376
100016,2023-01-12,578.1473,0.0036843179514578495
100016,2023-01-13,492.4132,-14.829110159296766
100016,2023-01-16,493.7523,0.27194640598586783
100016,2023-01-17,495.7495,0.40449431830495985
100016,2023-01-18,507.0277,2.27497960159313
100016,2023-01-19,506.06,-0.19085742258262428
100016,2023-01-20,504.9042,-0.22839189028969198
100016,2023-01-23,505.6844,0.1545243632356419
100016,2023-01-24,510.7491,1.0015535381356466
100016,2023-01-25,504.268,-1.2689400725326871
100016,2023-01-26,495.8578,-1.667803628229425
100016,2023-01-27,493.5515,-0.46511318365870524
100016,2023-01-30,486.7415,-1.3797952189386509
100016,2023-01-31,485.1715,-0.3225531416573224
100016,2023-02-01,470.8644,-2.9488747793306014
100016,2023-02-02,484.0122,2.792268857021263
